strategy,tau_max,hold_to_expiry,hold_seconds,latency,train_total_pnl,train_mean_pnl,train_t_stat,train_hit_rate,train_n_trades,test_total_pnl,test_mean_pnl,test_t_stat,test_hit_rate,test_n_trades,threshold_bps,near_strike_bps,min_move_bps
StrikeCross,120.0,True,,0,-0.05999999999999996,-0.0037499999999999977,-1.6947980485980956,0.0,10,-0.009999999999999898,-0.0012499999999999872,-0.014915882545421902,0.25,12,,,
StrikeCross,120.0,True,,2,-0.10999999999999996,-0.006874999999999997,-1.74070390459505,0.0,10,5.551115123125783e-17,6.938893903907228e-18,8.495341213108796e-17,0.25,12,,,
StrikeCross,120.0,True,,5,-0.06,-0.00375,-1.6947980485980954,0.0,10,0.020000000000000073,0.002500000000000009,0.03207737228529927,0.25,12,,,
StrikeCross,300.0,True,,0,1.1600000000000006,0.07250000000000002,1.2939038321072678,0.25,27,0.5300000000000002,0.06625000000000003,0.598317836621279,0.375,17,,,
StrikeCross,300.0,True,,2,0.9300000000000003,0.058125000000000024,1.0436446296772723,0.25,27,0.5300000000000002,0.06625000000000003,0.6135182164579668,0.375,17,,,
StrikeCross,300.0,True,,5,1.0500000000000003,0.06562500000000002,1.2571530064055612,0.25,27,0.6100000000000003,0.07625000000000004,0.7226946116822285,0.375,17,,,
StrikeCross,600.0,True,,0,3.020000000000001,0.18875000000000006,1.940463727605269,0.4375,65,2.1300000000000003,0.26625000000000004,1.905097258299607,0.625,33,,,
StrikeCross,600.0,True,,2,2.870000000000001,0.17937500000000006,1.8800623476436191,0.375,65,2.0800000000000005,0.26000000000000006,1.9297111613504263,0.625,33,,,
StrikeCross,600.0,True,,5,2.8100000000000005,0.17562500000000003,1.9188003720579097,0.4375,65,2.2900000000000005,0.28625000000000006,2.081781314706943,0.625,33,,,
LatencyCapture,900.0,,15.0,0,-0.02999999999999939,-0.0018749999999999618,-0.10975446529373409,0.1875,21,-0.2999999999999999,-0.037499999999999985,-1.8523964340873709,0.0,6,3.0,,
LatencyCapture,900.0,,15.0,2,-0.07999999999999943,-0.004999999999999966,-0.29361010975734964,0.25,21,-0.2799999999999999,-0.03499999999999999,-2.4111323733951022,0.0,6,3.0,,
LatencyCapture,900.0,,15.0,5,-0.08999999999999936,-0.005624999999999959,-0.3412912596301171,0.1875,21,-0.22999999999999998,-0.028749999999999998,-2.0619008540742554,0.0,6,3.0,,
LatencyCapture,900.0,,15.0,0,0.2500000000000001,0.015625000000000007,1.2585239022639543,0.125,7,-0.13,-0.01625,-1.0,0.0,1,5.0,,
LatencyCapture,900.0,,15.0,2,0.24000000000000016,0.01500000000000001,1.1312032766397777,0.125,7,-0.13,-0.01625,-1.0,0.0,1,5.0,,
LatencyCapture,900.0,,15.0,5,0.13000000000000017,0.00812500000000001,0.8018176156172787,0.125,7,-0.08000000000000002,-0.010000000000000002,-1.0000000000000002,0.0,1,5.0,,
LatencyCapture,900.0,,15.0,0,0.17000000000000004,0.010625000000000002,0.9999999999999999,0.0625,2,0.0,0.0,0.0,0.0,0,10.0,,
LatencyCapture,900.0,,15.0,2,0.17000000000000004,0.010625000000000002,0.9999999999999999,0.0625,2,0.0,0.0,0.0,0.0,0,10.0,,
LatencyCapture,900.0,,15.0,5,0.17000000000000004,0.010625000000000002,0.9999999999999999,0.0625,2,0.0,0.0,0.0,0.0,0,10.0,,
NearStrike,,,15.0,0,0.05000000000000018,0.0031250000000000114,0.5895286441241173,0.0625,5,-0.14,-0.0175,-1.0,0.0,4,,20.0,3.0
NearStrike,,,15.0,2,0.03000000000000022,0.0018750000000000138,0.7164551519745531,0.125,5,-0.13999999999999996,-0.017499999999999995,-1.3690569527564258,0.0,4,,20.0,3.0
NearStrike,,,15.0,5,0.020000000000000226,0.0012500000000000141,0.3550358012483672,0.0625,5,-0.17000000000000004,-0.021250000000000005,-1.5102057916913754,0.0,4,,20.0,3.0
NearStrike,,,15.0,0,0.020000000000000268,0.0012500000000000167,0.21961673719008903,0.0625,6,-0.14,-0.0175,-1.0,0.0,4,,50.0,3.0
NearStrike,,,15.0,2,0.020000000000000268,0.0012500000000000167,0.4596385597769271,0.125,6,-0.13999999999999996,-0.017499999999999995,-1.3690569527564258,0.0,4,,50.0,3.0
NearStrike,,,15.0,5,0.010000000000000328,0.0006250000000000205,0.17407765595570363,0.0625,6,-0.17000000000000004,-0.021250000000000005,-1.5102057916913754,0.0,4,,50.0,3.0
