timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 03:15:00.390000+00:00,2026-01-06 03:15:00.478756+00:00,0.39,0.51,0.5,0.52,0.49,0.48,0.5,,,,
2026-01-06 03:15:01.444000+00:00,2026-01-06 03:15:01.483618+00:00,1.444,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 03:15:02.488000+00:00,2026-01-06 03:15:02.504324+00:00,2.488,0.505,0.5,0.51,0.505,0.5,0.51,,,,
2026-01-06 03:15:03.456000+00:00,2026-01-06 03:15:03.503078+00:00,3.456,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:04.828000+00:00,2026-01-06 03:15:04.824926+00:00,4.828,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:05.819000+00:00,2026-01-06 03:15:05.848948+00:00,5.819,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:06.760000+00:00,2026-01-06 03:15:06.847865+00:00,6.76,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 03:15:07.838000+00:00,2026-01-06 03:15:07.848372+00:00,7.838,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:08.847000+00:00,2026-01-06 03:15:08.864048+00:00,8.847,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:09.816000+00:00,2026-01-06 03:15:09.864466+00:00,9.816,0.485,0.48,0.49,0.52,0.51,0.53,,,,
2026-01-06 03:15:10.864000+00:00,2026-01-06 03:15:10.875345+00:00,10.864,0.475,0.47,0.48,0.52,0.51,0.53,,,,
2026-01-06 03:15:11.866000+00:00,2026-01-06 03:15:11.885346+00:00,11.866,0.48,0.47,0.49,0.52,0.51,0.53,,,,
2026-01-06 03:15:12.956000+00:00,2026-01-06 03:15:12.902933+00:00,12.956,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 03:15:14.104000+00:00,2026-01-06 03:15:14.131067+00:00,14.104,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 03:15:15.102000+00:00,2026-01-06 03:15:15.120199+00:00,15.102,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 03:15:16.102000+00:00,2026-01-06 03:15:16.124160+00:00,16.102,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:17.104000+00:00,2026-01-06 03:15:17.123601+00:00,17.104,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:18.121000+00:00,2026-01-06 03:15:18.129617+00:00,18.121,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:19.250000+00:00,2026-01-06 03:15:19.295568+00:00,19.25,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:20.419000+00:00,2026-01-06 03:15:20.313197+00:00,20.419,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:21.323000+00:00,2026-01-06 03:15:21.345018+00:00,21.323,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 03:15:22.196000+00:00,2026-01-06 03:15:22.343368+00:00,22.196,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 03:15:23.314000+00:00,2026-01-06 03:15:23.369061+00:00,23.314,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:24.321000+00:00,2026-01-06 03:15:24.357539+00:00,24.321,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:25.315000+00:00,2026-01-06 03:15:25.376971+00:00,25.315,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:26.370000+00:00,2026-01-06 03:15:26.378566+00:00,26.37,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:15:27.390000+00:00,2026-01-06 03:15:27.402117+00:00,27.39,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:28.351000+00:00,2026-01-06 03:15:28.428431+00:00,28.351,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:29.373000+00:00,2026-01-06 03:15:29.428430+00:00,29.373,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:30.348000+00:00,2026-01-06 03:15:30.437221+00:00,30.348,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:31.476000+00:00,2026-01-06 03:15:31.447753+00:00,31.476,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:32.475000+00:00,2026-01-06 03:15:32.456374+00:00,32.475,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:15:33.490000+00:00,2026-01-06 03:15:33.500849+00:00,33.49,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 03:15:34.486000+00:00,2026-01-06 03:15:34.512596+00:00,34.486,0.53,0.52,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:15:35.526000+00:00,2026-01-06 03:15:35.531439+00:00,35.526,0.535,0.53,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:15:36.510000+00:00,2026-01-06 03:15:36.534963+00:00,36.51,0.535,0.53,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:15:37.537000+00:00,2026-01-06 03:15:37.545231+00:00,37.537,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 03:15:38.504000+00:00,2026-01-06 03:15:38.551666+00:00,38.504,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 03:15:39.537000+00:00,2026-01-06 03:15:39.552233+00:00,39.537,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 03:15:40.547000+00:00,2026-01-06 03:15:40.556155+00:00,40.547,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 03:15:41.539000+00:00,2026-01-06 03:15:41.570135+00:00,41.539,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 03:15:42.579000+00:00,2026-01-06 03:15:42.594375+00:00,42.579,0.555,0.55,0.56,0.435,0.43,0.44,,,,
2026-01-06 03:15:43.584000+00:00,2026-01-06 03:15:43.597492+00:00,43.584,0.585,0.58,0.59,0.415,0.41,0.42,,,,
2026-01-06 03:15:44.604000+00:00,2026-01-06 03:15:44.639956+00:00,44.604,0.585,0.58,0.59,0.415,0.41,0.42,,,,
2026-01-06 03:15:45.801000+00:00,2026-01-06 03:15:45.824272+00:00,45.801,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 03:15:46.874000+00:00,2026-01-06 03:15:46.901423+00:00,46.874,0.595,0.59,0.6,0.4,0.39,0.41,,,,
2026-01-06 03:15:47.896000+00:00,2026-01-06 03:15:47.909750+00:00,47.896,0.645,0.64,0.65,0.355,0.35,0.36,,,,
2026-01-06 03:15:49.071000+00:00,2026-01-06 03:15:49.212812+00:00,49.071,0.655,0.65,0.66,0.345,0.34,0.35,,,,
2026-01-06 03:15:50.186000+00:00,2026-01-06 03:15:50.226318+00:00,50.186,0.645,0.64,0.65,0.355,0.35,0.36,,,,
