timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 06:30:00+00:00,2026-01-06 06:34:23.984921+00:00,0.0,3226.622,3226.4,3226.78,ETH
2026-01-06 06:30:01+00:00,2026-01-06 06:34:24.995686+00:00,1.0,3226.842,3226.51,3226.92,ETH
2026-01-06 06:30:02+00:00,2026-01-06 06:34:26.004693+00:00,2.0,3226.632,3226.49,3226.67,ETH
2026-01-06 06:30:03+00:00,2026-01-06 06:34:27.017802+00:00,3.0,3226.492,3226.39,3226.86,ETH
2026-01-06 06:30:04+00:00,2026-01-06 06:34:28.005153+00:00,4.0,3226.492,3226.38,3226.86,ETH
2026-01-06 06:30:05+00:00,2026-01-06 06:34:29.028418+00:00,5.0,3226.802,3226.49,3226.9,ETH
2026-01-06 06:30:06+00:00,2026-01-06 06:34:30.019304+00:00,6.0,3226.862,3226.56,3227.06,ETH
2026-01-06 06:30:07+00:00,2026-01-06 06:34:31.018508+00:00,7.0,3226.872,3226.57,3227.08,ETH
2026-01-06 06:30:08+00:00,2026-01-06 06:34:32.035140+00:00,8.0,3226.902,3226.63,3227.17,ETH
2026-01-06 06:30:09+00:00,2026-01-06 06:34:33.050642+00:00,9.0,3227.142,3226.82,3227.43,ETH
2026-01-06 06:30:10+00:00,2026-01-06 06:34:34.032730+00:00,10.0,3227.382,3227.11,3227.66,ETH
2026-01-06 06:30:11+00:00,2026-01-06 06:34:35.050578+00:00,11.0,3227.642,3227.43,3227.9,ETH
2026-01-06 06:30:12+00:00,2026-01-06 06:34:36.047296+00:00,12.0,3227.952,3227.67,3228.15,ETH
2026-01-06 06:30:13+00:00,2026-01-06 06:34:37.055444+00:00,13.0,3227.952,3227.71,3228.36,ETH
2026-01-06 06:30:14+00:00,2026-01-06 06:34:38.050215+00:00,14.0,3227.952,3227.71,3228.3,ETH
2026-01-06 06:30:15+00:00,2026-01-06 06:34:39.063574+00:00,15.0,3227.952,3227.71,3228.22,ETH
2026-01-06 06:30:16+00:00,2026-01-06 06:34:40.078809+00:00,16.0,3227.952,3227.71,3228.21,ETH
2026-01-06 06:30:17+00:00,2026-01-06 06:34:41.101808+00:00,17.0,3227.992,3227.83,3228.12,ETH
2026-01-06 06:30:18+00:00,2026-01-06 06:34:42.105856+00:00,18.0,3228.012,3227.85,3228.12,ETH
