timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:30:00.205000+00:00,2026-01-06 17:30:00.725588+00:00,0.205,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,10.0,9.0,9.0,10.0,0.52,84.15,0.55,184.35,0.45,173.17,0.48,84.15
2026-01-06 17:30:00.604000+00:00,2026-01-06 17:30:01.210247+00:00,0.604,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,10.0,9.0,9.0,10.0,0.52,84.15,0.55,173.17,0.45,173.17,0.48,84.15
2026-01-06 17:30:01.070000+00:00,2026-01-06 17:30:01.747650+00:00,1.07,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,10.0,9.0,9.0,10.0,0.52,84.15,0.55,118.72,0.45,118.72,0.48,84.15
2026-01-06 17:30:01.502000+00:00,2026-01-06 17:30:02.222661+00:00,1.502,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,15.0,9.0,9.0,15.0,0.52,84.15,0.55,123.72,0.45,123.72,0.48,84.15
2026-01-06 17:30:02.273000+00:00,2026-01-06 17:30:02.751470+00:00,2.273,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,12.87,4.0,4.0,7.87,0.52,84.15,0.55,123.72,0.45,123.72,0.48,84.15
2026-01-06 17:30:02.712000+00:00,2026-01-06 17:30:03.239127+00:00,2.712,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,20.0,4.0,4.0,20.0,0.52,75.15,0.55,123.72,0.45,123.72,0.48,75.15
2026-01-06 17:30:03.279000+00:00,2026-01-06 17:30:03.746322+00:00,3.279,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,20.0,117.72,117.72,15.0,0.52,84.15,0.56,12.0,0.44,12.0,0.48,84.15
2026-01-06 17:30:03.787000+00:00,2026-01-06 17:30:04.262042+00:00,3.787,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,35.0,132.72,147.72,20.0,0.52,84.15,0.56,134.0,0.44,210.0,0.48,84.15
2026-01-06 17:30:04.264000+00:00,2026-01-06 17:30:04.745936+00:00,4.264,0.545,0.54,0.55,0.455,0.45,0.46,29.0,162.72,162.72,49.0,0.53,20.0,0.56,195.0,0.44,195.0,0.47,20.0
2026-01-06 17:30:04.784000+00:00,2026-01-06 17:30:05.264494+00:00,4.784,0.535,0.53,0.54,0.475,0.47,0.48,5.0,30.0,65.0,13.72,0.52,75.15,0.55,259.72,0.46,35.0,0.49,322.0
2026-01-06 17:30:05.276000+00:00,2026-01-06 17:30:05.747651+00:00,5.276,0.515,0.51,0.52,0.485,0.48,0.49,366.0,35.0,50.0,341.0,0.5,646.04,0.53,35.0,0.47,20.0,0.5,696.04
2026-01-06 17:30:05.801000+00:00,2026-01-06 17:30:06.278123+00:00,5.801,0.525,0.52,0.53,0.475,0.47,0.48,399.0,35.0,35.0,467.0,0.51,402.0,0.54,22.27,0.46,22.27,0.49,402.0
2026-01-06 17:30:06.262000+00:00,2026-01-06 17:30:06.745699+00:00,6.262,0.525,0.52,0.53,0.475,0.47,0.48,486.68,45.0,60.0,417.0,0.51,402.0,0.54,22.27,0.46,27.27,0.49,437.0
2026-01-06 17:30:06.826000+00:00,2026-01-06 17:30:07.279491+00:00,6.826,0.525,0.52,0.53,0.475,0.47,0.48,412.0,25.0,10.0,432.0,0.51,437.0,0.54,40.0,0.45,106.72,0.49,437.0
2026-01-06 17:30:07.258000+00:00,2026-01-06 17:30:07.745573+00:00,7.258,0.525,0.52,0.53,0.455,0.45,0.46,467.0,10.0,56.72,152.0,0.51,437.0,0.55,106.72,0.44,12.0,0.47,152.0
2026-01-06 17:30:07.813000+00:00,2026-01-06 17:30:08.298681+00:00,7.813,0.565,0.56,0.57,0.425,0.42,0.43,152.0,65.0,80.0,147.88,0.55,398.56,0.58,130.0,0.41,111.0,0.44,349.0
