timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 19:00:00+00:00,,0.0,ETH,3217.54,3217.44,19:00:00
2026-01-06 19:00:01+00:00,,1.0,ETH,3217.86,3217.81,19:00:01
2026-01-06 19:00:02+00:00,,2.0,ETH,3218.09,3218.01,19:00:02
2026-01-06 19:00:04+00:00,,4.0,ETH,3218.19,3217.97,19:00:04
2026-01-06 19:00:05+00:00,,5.0,ETH,3218.02,3217.97,19:00:05
2026-01-06 19:00:06+00:00,,6.0,ETH,3217.92,3217.7,19:00:06
2026-01-06 19:00:07+00:00,,7.0,ETH,3217.86,3217.69,19:00:07
2026-01-06 19:00:08+00:00,,8.0,ETH,3217.84,3217.69,19:00:08
2026-01-06 19:00:09+00:00,,9.0,ETH,3217.5,3217.48,19:00:09
2026-01-06 19:00:10+00:00,,10.0,ETH,3217.64,3217.53,19:00:10
2026-01-06 19:00:11+00:00,,11.0,ETH,3217.72,3217.49,19:00:11
2026-01-06 19:00:12+00:00,,12.0,ETH,3217.62,3217.49,19:00:12
2026-01-06 19:00:13+00:00,,13.0,ETH,3217.56,3217.5,19:00:13
2026-01-06 19:00:14+00:00,,14.0,ETH,3217.79,3217.78,19:00:14
2026-01-06 19:00:15+00:00,,15.0,ETH,3217.92,3217.72,19:00:15
2026-01-06 19:00:16+00:00,,16.0,ETH,3217.64,3217.42,19:00:16
2026-01-06 19:00:17+00:00,,17.0,ETH,3217.58,3217.45,19:00:17
2026-01-06 19:00:18+00:00,,18.0,ETH,3217.51,3217.27,19:00:18
2026-01-06 19:00:19+00:00,,19.0,ETH,3217.37,3217.06,19:00:19
2026-01-06 19:00:20+00:00,,20.0,ETH,3217.01,3216.98,19:00:20
2026-01-06 19:00:21+00:00,,21.0,ETH,3217.01,3217.0,19:00:21
2026-01-06 19:00:22+00:00,,22.0,ETH,3216.89,3216.86,19:00:22
2026-01-06 19:00:23+00:00,,23.0,ETH,3216.6,3216.59,19:00:23
2026-01-06 19:00:24+00:00,,24.0,ETH,3216.59,3216.43,19:00:24
2026-01-06 19:00:25+00:00,,25.0,ETH,3216.45,3216.44,19:00:25
2026-01-06 19:00:26+00:00,,26.0,ETH,3216.45,3216.39,19:00:26
2026-01-06 19:00:27+00:00,,27.0,ETH,3216.21,3216.17,19:00:27
2026-01-06 19:00:28+00:00,,28.0,ETH,3216.14,3215.9,19:00:28
2026-01-06 19:00:29+00:00,,29.0,ETH,3216.04,3216.02,19:00:29
2026-01-06 19:00:30+00:00,,30.0,ETH,3215.98,3215.89,19:00:30
2026-01-06 19:00:31+00:00,,31.0,ETH,3215.94,3215.88,19:00:31
2026-01-06 19:00:32+00:00,,32.0,ETH,3215.9,3215.85,19:00:32
2026-01-06 19:00:33+00:00,,33.0,ETH,3215.98,3215.87,19:00:33
2026-01-06 19:00:34+00:00,,34.0,ETH,3216.01,3215.85,19:00:34
2026-01-06 19:00:35+00:00,,35.0,ETH,3215.98,3215.91,19:00:35
2026-01-06 19:00:36+00:00,,36.0,ETH,3215.71,3215.7,19:00:36
2026-01-06 19:00:37+00:00,,37.0,ETH,3215.79,3215.75,19:00:37
2026-01-06 19:00:38+00:00,,38.0,ETH,3215.79,3215.75,19:00:38
2026-01-06 19:00:39+00:00,,39.0,ETH,3216.04,3216.01,19:00:39
2026-01-06 19:00:40+00:00,,40.0,ETH,3216.42,3216.33,19:00:40
2026-01-06 19:00:41+00:00,,41.0,ETH,3216.42,3216.24,19:00:41
2026-01-06 19:00:42+00:00,,42.0,ETH,3216.43,3215.91,19:00:42
2026-01-06 19:00:43+00:00,,43.0,ETH,3216.01,3215.97,19:00:43
2026-01-06 19:00:44+00:00,,44.0,ETH,3216.33,3216.22,19:00:44
2026-01-06 19:00:45+00:00,,45.0,ETH,3216.41,3216.22,19:00:45
2026-01-06 19:00:46+00:00,,46.0,ETH,3216.04,3215.87,19:00:46
2026-01-06 19:00:47+00:00,,47.0,ETH,3215.71,3215.59,19:00:47
2026-01-06 19:00:48+00:00,,48.0,ETH,3215.65,3215.58,19:00:48
2026-01-06 19:00:53+00:00,,53.0,ETH,3215.26,3215.25,19:00:53
2026-01-06 19:00:57+00:00,,57.0,ETH,3215.29,3215.25,19:00:57
2026-01-06 19:00:58+00:00,,58.0,ETH,3215.28,3215.25,19:00:58
