timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 19:30:00+00:00,,0.0,ETH,3224.01,3223.82,19:30:00
2026-01-06 19:30:01+00:00,,1.0,ETH,3224.18,3224.16,19:30:01
2026-01-06 19:30:02+00:00,,2.0,ETH,3224.56,3224.33,19:30:02
2026-01-06 19:30:03+00:00,,3.0,ETH,3224.55,3224.3,19:30:03
2026-01-06 19:30:04+00:00,,4.0,ETH,3224.2,3223.83,19:30:04
2026-01-06 19:30:05+00:00,,5.0,ETH,3223.87,3223.75,19:30:05
2026-01-06 19:30:06+00:00,,6.0,ETH,3223.91,3223.78,19:30:06
2026-01-06 19:30:07+00:00,,7.0,ETH,3223.91,3223.79,19:30:07
2026-01-06 19:30:08+00:00,,8.0,ETH,3223.87,3223.78,19:30:08
2026-01-06 19:30:09+00:00,,9.0,ETH,3223.84,3223.78,19:30:09
2026-01-06 19:30:10+00:00,,10.0,ETH,3223.9,3223.79,19:30:10
2026-01-06 19:30:11+00:00,,11.0,ETH,3224.02,3223.83,19:30:11
2026-01-06 19:30:12+00:00,,12.0,ETH,3224.14,3223.92,19:30:12
2026-01-06 19:30:13+00:00,,13.0,ETH,3224.18,3223.97,19:30:13
2026-01-06 19:30:14+00:00,,14.0,ETH,3224.29,3224.1,19:30:14
2026-01-06 19:30:15+00:00,,15.0,ETH,3224.42,3224.21,19:30:15
2026-01-06 19:30:16+00:00,,16.0,ETH,3224.34,3224.19,19:30:16
2026-01-06 19:30:17+00:00,,17.0,ETH,3224.29,3224.16,19:30:17
2026-01-06 19:30:18+00:00,,18.0,ETH,3224.31,3224.13,19:30:18
2026-01-06 19:30:19+00:00,,19.0,ETH,3224.33,3224.15,19:30:19
2026-01-06 19:30:20+00:00,,20.0,ETH,3224.32,3224.17,19:30:20
2026-01-06 19:30:21+00:00,,21.0,ETH,3224.29,3224.17,19:30:21
2026-01-06 19:30:22+00:00,,22.0,ETH,3224.25,3224.18,19:30:22
2026-01-06 19:30:23+00:00,,23.0,ETH,3224.25,3224.17,19:30:23
2026-01-06 19:30:24+00:00,,24.0,ETH,3224.3,3224.18,19:30:24
2026-01-06 19:30:25+00:00,,25.0,ETH,3224.4,3224.27,19:30:25
2026-01-06 19:30:27+00:00,,27.0,ETH,3224.68,3224.62,19:30:27
2026-01-06 19:30:28+00:00,,28.0,ETH,3225.06,3224.87,19:30:28
2026-01-06 19:30:29+00:00,,29.0,ETH,3225.24,3224.94,19:30:29
2026-01-06 19:30:30+00:00,,30.0,ETH,3225.24,3224.96,19:30:30
2026-01-06 19:30:31+00:00,,31.0,ETH,3225.23,3224.98,19:30:31
2026-01-06 19:30:32+00:00,,32.0,ETH,3225.17,3225.01,19:30:32
2026-01-06 19:30:33+00:00,,33.0,ETH,3225.21,3225.08,19:30:33
2026-01-06 19:30:34+00:00,,34.0,ETH,3225.28,3225.11,19:30:34
2026-01-06 19:30:35+00:00,,35.0,ETH,3225.28,3225.07,19:30:35
2026-01-06 19:30:36+00:00,,36.0,ETH,3225.23,3225.05,19:30:36
2026-01-06 19:30:37+00:00,,37.0,ETH,3225.2,3225.08,19:30:37
2026-01-06 19:30:38+00:00,,38.0,ETH,3225.25,3225.09,19:30:38
2026-01-06 19:30:39+00:00,,39.0,ETH,3225.26,3225.09,19:30:39
2026-01-06 19:30:40+00:00,,40.0,ETH,3225.27,3225.09,19:30:40
2026-01-06 19:30:41+00:00,,41.0,ETH,3225.23,3225.09,19:30:41
2026-01-06 19:30:42+00:00,,42.0,ETH,3225.16,3225.07,19:30:42
2026-01-06 19:30:43+00:00,,43.0,ETH,3225.16,3225.06,19:30:43
2026-01-06 19:30:44+00:00,,44.0,ETH,3225.18,3225.06,19:30:44
2026-01-06 19:30:45+00:00,,45.0,ETH,3225.22,3225.08,19:30:45
2026-01-06 19:30:46+00:00,,46.0,ETH,3225.29,3225.11,19:30:46
2026-01-06 19:30:47+00:00,,47.0,ETH,3225.43,3225.21,19:30:47
2026-01-06 19:30:48+00:00,,48.0,ETH,3225.53,3225.28,19:30:48
2026-01-06 19:30:49+00:00,,49.0,ETH,3225.52,3225.29,19:30:49
2026-01-06 19:30:50+00:00,,50.0,ETH,3225.52,3225.29,19:30:50
2026-01-06 19:30:51+00:00,,51.0,ETH,3225.52,3225.28,19:30:51
2026-01-06 19:30:52+00:00,,52.0,ETH,3225.51,3225.28,19:30:52
2026-01-06 19:30:53+00:00,,53.0,ETH,3225.51,3225.28,19:30:53
2026-01-06 19:30:54+00:00,,54.0,ETH,3225.51,3225.28,19:30:54
2026-01-06 19:30:55+00:00,,55.0,ETH,3225.49,3225.28,19:30:55
2026-01-06 19:30:56+00:00,,56.0,ETH,3225.36,3225.28,19:30:56
2026-01-06 19:30:57+00:00,,57.0,ETH,3225.65,3225.59,19:30:57
2026-01-06 19:30:58+00:00,,58.0,ETH,3225.8,3225.52,19:30:58
2026-01-06 19:30:59+00:00,,59.0,ETH,3225.56,3225.31,19:30:59
2026-01-06 19:31:00+00:00,,60.0,ETH,3225.58,3225.31,19:31:00
2026-01-06 19:31:01+00:00,,61.0,ETH,3225.39,3225.24,19:31:01
2026-01-06 19:31:02+00:00,,62.0,ETH,3225.32,3225.21,19:31:02
2026-01-06 19:31:03+00:00,,63.0,ETH,3225.14,3225.07,19:31:03
2026-01-06 19:31:04+00:00,,64.0,ETH,3225.14,3225.07,19:31:04
2026-01-06 19:31:05+00:00,,65.0,ETH,3225.19,3225.07,19:31:05
2026-01-06 19:31:06+00:00,,66.0,ETH,3225.2,3225.07,19:31:06
2026-01-06 19:31:07+00:00,,67.0,ETH,3225.18,3225.07,19:31:07
2026-01-06 19:31:08+00:00,,68.0,ETH,3224.92,3224.49,19:31:08
2026-01-06 19:31:09+00:00,,69.0,ETH,3224.34,3224.28,19:31:09
2026-01-06 19:31:10+00:00,,70.0,ETH,3224.94,3224.82,19:31:10
2026-01-06 19:31:11+00:00,,71.0,ETH,3225.1,3224.96,19:31:11
2026-01-06 19:31:12+00:00,,72.0,ETH,3225.16,3225.09,19:31:12
2026-01-06 19:31:13+00:00,,73.0,ETH,3225.16,3225.09,19:31:13
2026-01-06 19:31:14+00:00,,74.0,ETH,3225.17,3225.09,19:31:14
2026-01-06 19:31:15+00:00,,75.0,ETH,3225.17,3225.09,19:31:15
2026-01-06 19:31:16+00:00,,76.0,ETH,3225.19,3225.09,19:31:16
2026-01-06 19:31:17+00:00,,77.0,ETH,3225.17,3225.09,19:31:17
2026-01-06 19:31:18+00:00,,78.0,ETH,3225.13,3225.04,19:31:18
2026-01-06 19:31:19+00:00,,79.0,ETH,3225.13,3224.99,19:31:19
2026-01-06 19:31:20+00:00,,80.0,ETH,3225.1,3225.05,19:31:20
2026-01-06 19:31:21+00:00,,81.0,ETH,3225.26,3225.13,19:31:21
2026-01-06 19:31:22+00:00,,82.0,ETH,3225.32,3225.13,19:31:22
2026-01-06 19:31:23+00:00,,83.0,ETH,3225.36,3225.13,19:31:23
2026-01-06 19:31:24+00:00,,84.0,ETH,3225.35,3225.13,19:31:24
2026-01-06 19:31:25+00:00,,85.0,ETH,3225.38,3225.28,19:31:25
2026-01-06 19:31:26+00:00,,86.0,ETH,3225.41,3225.28,19:31:26
2026-01-06 19:31:27+00:00,,87.0,ETH,3225.47,3225.28,19:31:27
2026-01-06 19:31:28+00:00,,88.0,ETH,3225.46,3225.28,19:31:28
2026-01-06 19:31:29+00:00,,89.0,ETH,3225.46,3225.37,19:31:29
2026-01-06 19:31:30+00:00,,90.0,ETH,3225.61,3225.55,19:31:30
2026-01-06 19:31:31+00:00,,91.0,ETH,3226.02,3225.74,19:31:31
2026-01-06 19:31:32+00:00,,92.0,ETH,3226.14,3225.79,19:31:32
2026-01-06 19:31:33+00:00,,93.0,ETH,3226.36,3226.18,19:31:33
2026-01-06 19:31:34+00:00,,94.0,ETH,3226.47,3226.38,19:31:34
2026-01-06 19:31:35+00:00,,95.0,ETH,3226.72,3226.63,19:31:35
2026-01-06 19:31:36+00:00,,96.0,ETH,3226.75,3226.63,19:31:36
2026-01-06 19:31:37+00:00,,97.0,ETH,3226.71,3226.4,19:31:37
2026-01-06 19:31:38+00:00,,98.0,ETH,3226.48,3226.38,19:31:38
2026-01-06 19:31:39+00:00,,99.0,ETH,3226.24,3226.19,19:31:39
2026-01-06 19:31:40+00:00,,100.0,ETH,3226.28,3226.22,19:31:40
2026-01-06 19:31:41+00:00,,101.0,ETH,3226.22,3226.21,19:31:41
2026-01-06 19:31:42+00:00,,102.0,ETH,3226.22,3226.21,19:31:42
2026-01-06 19:31:43+00:00,,103.0,ETH,3226.22,3226.21,19:31:43
2026-01-06 19:31:44+00:00,,104.0,ETH,3226.29,3226.21,19:31:44
2026-01-06 19:31:45+00:00,,105.0,ETH,3226.7,3226.64,19:31:45
2026-01-06 19:31:46+00:00,,106.0,ETH,3226.88,3226.64,19:31:46
2026-01-06 19:31:47+00:00,,107.0,ETH,3226.89,3226.64,19:31:47
2026-01-06 19:31:48+00:00,,108.0,ETH,3226.89,3226.64,19:31:48
2026-01-06 19:31:49+00:00,,109.0,ETH,3226.86,3226.64,19:31:49
