timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 19:30:00.271000+00:00,2026-01-06 19:30:00.804966+00:00,0.271,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 19:30:01.165000+00:00,2026-01-06 19:30:01.816847+00:00,1.165,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 19:30:02.297000+00:00,2026-01-06 19:30:02.836684+00:00,2.297,0.51,0.5,0.52,0.49,0.48,0.5,,,,
2026-01-06 19:30:03.295000+00:00,2026-01-06 19:30:03.846560+00:00,3.295,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 19:30:04.319000+00:00,2026-01-06 19:30:04.861733+00:00,4.319,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,,,,
2026-01-06 19:30:05.273000+00:00,2026-01-06 19:30:05.861796+00:00,5.273,0.5700000000000001,0.56,0.58,0.425,0.42,0.43,,,,
2026-01-06 19:30:06.288000+00:00,2026-01-06 19:30:06.867252+00:00,6.288,0.575,0.57,0.58,0.425,0.42,0.43,,,,
2026-01-06 19:30:07.302000+00:00,2026-01-06 19:30:07.875891+00:00,7.302,0.575,0.57,0.58,0.425,0.42,0.43,,,,
2026-01-06 19:30:08.325000+00:00,2026-01-06 19:30:08.885129+00:00,8.325,0.575,0.57,0.58,0.425,0.42,0.43,,,,
2026-01-06 19:30:09.331000+00:00,2026-01-06 19:30:09.882660+00:00,9.331,0.575,0.57,0.58,0.415,0.41,0.42,,,,
2026-01-06 19:30:10.360000+00:00,2026-01-06 19:30:10.901925+00:00,10.36,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 19:30:11.339000+00:00,2026-01-06 19:30:11.913539+00:00,11.339,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 19:30:12.417000+00:00,2026-01-06 19:30:12.935787+00:00,12.417,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 19:30:13.393000+00:00,2026-01-06 19:30:13.938648+00:00,13.393,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 19:30:14.430000+00:00,2026-01-06 19:30:14.952974+00:00,14.43,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 19:30:15.294000+00:00,2026-01-06 19:30:15.968195+00:00,15.294,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 19:30:16.424000+00:00,2026-01-06 19:30:16.973443+00:00,16.424,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 19:30:17.423000+00:00,2026-01-06 19:30:17.984728+00:00,17.423,0.55,0.54,0.56,0.45,0.44,0.46,,,,
