timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,up_bid_3,up_bid_3_size,up_ask_3,up_ask_3_size,up_bid_4,up_bid_4_size,up_ask_4,up_ask_4_size,up_bid_5,up_bid_5_size,up_ask_5,up_ask_5_size,up_bid_6,up_bid_6_size,up_ask_6,up_ask_6_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size,down_bid_3,down_bid_3_size,down_ask_3,down_ask_3_size,down_bid_4,down_bid_4_size,down_ask_4,down_ask_4_size,down_bid_5,down_bid_5_size,down_ask_5,down_ask_5_size,down_bid_6,down_bid_6_size,down_ask_6,down_ask_6_size
2026-01-07 12:45:00.056000+00:00,2026-01-07 12:44:57.790808+00:00,0.056,0.01,,0.01,0.99,0.99,,,10488.23,10488.23,,,,0.02,186.14,,,0.11,15.0,,,0.12,5.68,,,0.18,5.64,,,0.23,40.0,0.98,186.14,,,0.89,15.0,,,0.88,5.68,,,0.82,5.64,,,0.77,40.0,,
2026-01-07 12:45:01.641000+00:00,2026-01-07 12:44:59.799134+00:00,1.641,0.01,,0.01,0.999,0.999,,,199965.07,630.0,,,,0.02,206.54,,,0.1,8010.0,,,0.11,15.0,,,0.12,5.68,,,0.18,5.64,0.99,199845.07,,,0.98,206.54,,,0.9,8010.0,,,0.89,15.0,,,0.88,5.68,,
2026-01-07 12:45:03.162000+00:00,2026-01-07 12:45:00.820174+00:00,3.162,0.595,0.59,0.6,0.405,0.4,0.41,38.49,170.0,170.0,38.49,0.58,61.0,0.61,8.85,0.55,188.85,0.64,183.0,0.54,203.0,0.65,383.87,0.53,1742.58,0.66,183.0,0.52,1307.38,0.67,267.0,0.39,8.85,0.42,61.0,0.36,183.0,0.45,188.85,0.35,383.87,0.46,203.0,0.34,183.0,0.47,1742.58,0.33,267.0,0.48,1307.38
2026-01-07 12:45:04.204000+00:00,2026-01-07 12:45:01.827655+00:00,4.204,0.595,0.59,0.6,0.405,0.4,0.41,48.05,200.0,220.0,48.05,0.58,76.0,0.61,8.85,0.57,15.0,0.64,183.0,0.55,183.85,0.65,383.87,0.54,203.0,0.66,183.0,0.53,1754.0,0.67,267.0,0.39,8.85,0.42,76.0,0.36,183.0,0.43,15.0,0.35,383.87,0.45,183.85,0.34,183.0,0.46,203.0,0.33,267.0,0.47,1754.0
2026-01-07 12:45:05.213000+00:00,2026-01-07 12:45:02.833017+00:00,5.213,0.595,0.59,0.6,0.415,0.41,0.42,40.0,277.83,40.0,185.76,0.58,120.76,0.61,8.85,0.57,30.0,0.64,183.0,0.55,183.85,0.65,383.87,0.54,203.0,0.66,183.0,0.53,1754.0,0.67,267.0,0.4,287.83,0.43,70.0,0.39,8.85,0.45,183.85,0.36,183.0,0.46,203.0,0.35,312.87,0.47,1754.0,0.34,257.0,0.48,1307.38
2026-01-07 12:45:06.228000+00:00,2026-01-07 12:45:03.852607+00:00,6.228,0.585,0.58,0.59,0.415,0.41,0.42,130.76,90.0,65.0,155.76,0.57,70.0,0.6,267.83,0.55,183.85,0.61,8.85,0.54,203.0,0.63,35.0,0.53,1754.0,0.64,183.0,0.52,1307.38,0.65,383.87,0.4,297.83,0.43,70.0,0.39,43.85,0.45,183.85,0.38,35.0,0.46,203.0,0.37,35.0,0.47,1754.0,0.36,183.0,0.48,1307.38
2026-01-07 12:45:07.236000+00:00,2026-01-07 12:45:04.873217+00:00,7.236,0.575,0.57,0.58,0.425,0.42,0.43,110.0,20.0,38.0,110.0,0.56,35.0,0.59,150.0,0.55,193.85,0.6,60.0,0.54,238.0,0.61,43.85,0.53,1789.0,0.62,35.0,0.52,1342.38,0.63,35.0,0.41,165.0,0.44,35.0,0.4,60.0,0.45,193.85,0.39,43.85,0.46,238.0,0.38,35.0,0.47,1789.0,0.37,35.0,0.48,1342.38
2026-01-07 12:45:08.218000+00:00,2026-01-07 12:45:05.880057+00:00,8.218,0.575,0.57,0.58,0.425,0.42,0.43,108.34,25.0,20.0,108.34,0.56,105.0,0.59,150.0,0.55,263.85,0.6,60.0,0.54,308.0,0.61,113.85,0.53,1859.0,0.62,105.0,0.52,1412.38,0.63,173.0,0.41,145.0,0.44,105.0,0.4,60.0,0.45,263.85,0.39,113.85,0.46,308.0,0.38,105.0,0.47,1859.0,0.37,173.0,0.48,1412.38
2026-01-07 12:45:09.282000+00:00,2026-01-07 12:45:06.900549+00:00,9.282,0.585,0.58,0.59,0.41000000000000003,0.4,0.42,50.0,61.39,160.0,137.0,0.57,99.34,0.6,120.0,0.56,105.0,0.61,113.85,0.55,253.85,0.62,70.0,0.54,308.0,0.63,105.0,0.53,1824.0,0.64,288.0,0.39,113.85,0.43,109.34,0.38,80.0,0.44,105.0,0.37,105.0,0.45,288.85,0.36,288.0,0.46,308.0,0.35,439.29,0.47,1824.0
2026-01-07 12:45:10.290000+00:00,2026-01-07 12:45:07.908654+00:00,10.29,0.645,0.64,0.65,0.355,0.35,0.36,20.0,171.29,171.29,160.0,0.63,294.0,0.66,160.0,0.62,289.0,0.67,94.0,0.61,327.0,0.68,218.62,0.6,498.0,0.69,218.0,0.59,458.0,0.7,271.0,0.34,180.0,0.37,292.0,0.33,104.0,0.38,262.0,0.32,218.62,0.39,327.0,0.31,218.0,0.4,378.0,0.3,271.0,0.41,423.0
