timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 03:00:01.990000+00:00,2026-01-06 03:00:02.018630+00:00,1.99,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 03:00:03.032000+00:00,2026-01-06 03:00:03.129518+00:00,3.032,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 03:00:04.263000+00:00,2026-01-06 03:00:05.038912+00:00,4.263,0.535,0.53,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:00:05.743000+00:00,2026-01-06 03:00:06.047044+00:00,5.743,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 03:00:07.161000+00:00,2026-01-06 03:00:07.148675+00:00,7.161,0.55,0.54,0.56,0.45,0.44,0.46,,,,
2026-01-06 03:00:08.527000+00:00,2026-01-06 03:00:08.593949+00:00,8.527,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 03:00:10.971000+00:00,2026-01-06 03:00:11.025181+00:00,10.971,0.5,0.49,0.51,0.495,0.48,0.51,,,,
2026-01-06 03:00:12.734000+00:00,2026-01-06 03:00:13.064268+00:00,12.734,0.505,0.49,0.52,0.495,0.48,0.51,,,,
2026-01-06 03:00:13.842000+00:00,2026-01-06 03:00:14.034945+00:00,13.842,0.505,0.49,0.52,0.495,0.48,0.51,,,,
2026-01-06 03:00:14.871000+00:00,2026-01-06 03:00:15.033461+00:00,14.871,0.505,0.49,0.52,0.495,0.48,0.51,,,,
2026-01-06 03:00:15.366000+00:00,2026-01-06 03:00:16.093922+00:00,15.366,0.505,0.49,0.52,0.495,0.48,0.51,,,,
2026-01-06 03:00:17.893000+00:00,2026-01-06 03:00:18.115865+00:00,17.893,0.505,0.5,0.51,0.505,0.5,0.51,,,,
2026-01-06 03:00:18.277000+00:00,2026-01-06 03:00:19.116158+00:00,18.277,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:19.913000+00:00,2026-01-06 03:00:20.079010+00:00,19.913,0.5,0.49,0.51,0.5,0.49,0.51,,,,
2026-01-06 03:00:20.375000+00:00,2026-01-06 03:00:21.094678+00:00,20.375,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:21.812000+00:00,2026-01-06 03:00:22.064089+00:00,21.812,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:23.639000+00:00,2026-01-06 03:00:24.101471+00:00,23.639,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:25.852000+00:00,2026-01-06 03:00:26.094288+00:00,25.852,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:26.953000+00:00,2026-01-06 03:00:27.102349+00:00,26.953,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:27.548000+00:00,2026-01-06 03:00:28.119114+00:00,27.548,0.5,0.49,0.51,0.5,0.49,0.51,,,,
2026-01-06 03:00:28.556000+00:00,2026-01-06 03:00:29.101477+00:00,28.556,0.5,0.49,0.51,0.5,0.49,0.51,,,,
2026-01-06 03:00:30.001000+00:00,2026-01-06 03:00:30.159372+00:00,30.001,0.505,0.5,0.51,0.5,0.49,0.51,,,,
2026-01-06 03:00:31.953000+00:00,2026-01-06 03:00:32.127844+00:00,31.953,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:33.001000+00:00,2026-01-06 03:00:33.113199+00:00,33.001,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:34.941000+00:00,2026-01-06 03:00:35.224500+00:00,34.941,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:36.749000+00:00,2026-01-06 03:00:37.143572+00:00,36.749,0.48,0.47,0.49,0.52,0.51,0.53,,,,
2026-01-06 03:00:38.167000+00:00,2026-01-06 03:00:38.184831+00:00,38.167,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:39.932000+00:00,2026-01-06 03:00:40.182288+00:00,39.932,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:40.956000+00:00,2026-01-06 03:00:41.294688+00:00,40.956,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:42.005000+00:00,2026-01-06 03:00:42.499266+00:00,42.005,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:43.149000+00:00,2026-01-06 03:00:43.215203+00:00,43.149,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:44.226000+00:00,2026-01-06 03:00:44.233400+00:00,44.226,0.48,0.47,0.49,0.52,0.51,0.53,,,,
2026-01-06 03:00:45.934000+00:00,2026-01-06 03:00:46.254355+00:00,45.934,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 03:00:47.942000+00:00,2026-01-06 03:00:48.298113+00:00,47.942,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:49.964000+00:00,2026-01-06 03:00:50.296206+00:00,49.964,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:51.291000+00:00,2026-01-06 03:00:51.326516+00:00,51.291,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:52.238000+00:00,2026-01-06 03:00:52.296193+00:00,52.238,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 03:00:53.257000+00:00,2026-01-06 03:00:53.313986+00:00,53.257,0.485,0.48,0.49,0.515,0.51,0.52,,,,
