timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 03:12:39.766000+00:00,2026-01-06 03:12:38.627609+00:00,759.766,0.63,0.62,0.64,0.36,0.34,0.38,,,,
2026-01-06 03:12:40.065000+00:00,2026-01-06 03:12:40.166898+00:00,760.065,0.63,0.62,0.64,0.36,0.35,0.37,,,,
2026-01-06 03:12:41.676000+00:00,2026-01-06 03:12:41.688041+00:00,761.676,0.625,0.62,0.63,0.425,0.41,0.44,,,,
2026-01-06 03:12:44.144000+00:00,2026-01-06 03:12:44.151129+00:00,764.144,0.56,0.55,0.57,0.44,0.43,0.45,,,,
2026-01-06 03:12:46.001000+00:00,2026-01-06 03:12:46.012099+00:00,766.001,0.53,0.52,0.54,0.47,0.46,0.48,,,,
2026-01-06 03:12:47.003000+00:00,2026-01-06 03:12:47.021131+00:00,767.003,0.54,0.53,0.55,0.4599999999999999,0.45,0.47,,,,
2026-01-06 03:12:48.224000+00:00,2026-01-06 03:12:48.241940+00:00,768.224,0.54,0.53,0.55,0.4599999999999999,0.45,0.47,,,,
2026-01-06 03:12:49.216000+00:00,2026-01-06 03:12:49.238207+00:00,769.216,0.53,0.52,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:12:51.690000+00:00,2026-01-06 03:12:51.707170+00:00,771.69,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 03:12:52.760000+00:00,2026-01-06 03:12:52.766569+00:00,772.76,0.585,0.58,0.59,0.435,0.43,0.44,,,,
2026-01-06 03:12:53.777000+00:00,2026-01-06 03:12:53.784406+00:00,773.777,0.525,0.52,0.53,0.475,0.47,0.48,,,,
2026-01-06 03:12:55.240000+00:00,2026-01-06 03:12:55.462113+00:00,775.24,0.53,0.52,0.54,0.47,0.46,0.48,,,,
2026-01-06 03:12:56.469000+00:00,2026-01-06 03:12:56.486088+00:00,776.469,0.54,0.53,0.55,0.4599999999999999,0.45,0.47,,,,
2026-01-06 03:12:57.696000+00:00,2026-01-06 03:12:57.700689+00:00,777.696,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 03:12:59.094000+00:00,2026-01-06 03:12:59.151773+00:00,779.094,0.5800000000000001,0.56,0.6,0.42,0.4,0.44,,,,
2026-01-06 03:13:00.143000+00:00,2026-01-06 03:13:00.152149+00:00,780.143,0.5800000000000001,0.56,0.6,0.435,0.43,0.44,,,,
2026-01-06 03:13:01.105000+00:00,2026-01-06 03:13:01.142310+00:00,781.105,0.6,0.59,0.61,0.385,0.38,0.39,,,,
2026-01-06 03:13:02.138000+00:00,2026-01-06 03:13:02.144138+00:00,782.138,0.605,0.6,0.61,0.395,0.39,0.4,,,,
2026-01-06 03:13:03.082000+00:00,2026-01-06 03:13:03.144175+00:00,783.082,0.58,0.57,0.59,0.42,0.41,0.43,,,,
2026-01-06 03:13:04.263000+00:00,2026-01-06 03:13:04.349757+00:00,784.263,0.5700000000000001,0.56,0.58,0.43,0.42,0.44,,,,
2026-01-06 03:13:05.279000+00:00,2026-01-06 03:13:05.368067+00:00,785.279,0.515,0.51,0.52,0.4649999999999999,0.46,0.47,,,,
2026-01-06 03:13:06.229000+00:00,2026-01-06 03:13:06.382476+00:00,786.229,0.54,0.53,0.55,0.4599999999999999,0.45,0.47,,,,
2026-01-06 03:13:07.923000+00:00,2026-01-06 03:13:07.942602+00:00,787.923,0.54,0.53,0.55,0.4599999999999999,0.45,0.47,,,,
2026-01-06 03:13:08.958000+00:00,2026-01-06 03:13:08.964776+00:00,788.958,0.555,0.55,0.56,0.445,0.44,0.45,,,,
2026-01-06 03:13:09.877000+00:00,2026-01-06 03:13:09.959754+00:00,789.877,0.64,0.63,0.65,0.3399999999999999,0.31,0.37,,,,
2026-01-06 03:13:10.877000+00:00,2026-01-06 03:13:10.964120+00:00,790.877,0.66,0.65,0.67,0.3399999999999999,0.33,0.35,,,,
2026-01-06 03:13:11.992000+00:00,2026-01-06 03:13:11.983817+00:00,791.992,0.65,0.64,0.66,0.35,0.34,0.36,,,,
2026-01-06 03:13:13.061000+00:00,2026-01-06 03:13:13.065099+00:00,793.061,0.64,0.63,0.65,0.36,0.35,0.37,,,,
2026-01-06 03:13:14.063000+00:00,2026-01-06 03:13:14.075512+00:00,794.063,0.665,0.63,0.7,0.3399999999999999,0.31,0.37,,,,
2026-01-06 03:13:15.065000+00:00,2026-01-06 03:13:15.085370+00:00,795.065,0.6799999999999999,0.67,0.69,0.325,0.31,0.34,,,,
2026-01-06 03:13:16.130000+00:00,2026-01-06 03:13:16.184294+00:00,796.13,0.7050000000000001,0.67,0.74,0.295,0.26,0.33,,,,
2026-01-06 03:13:17.178000+00:00,2026-01-06 03:13:17.196310+00:00,797.178,0.67,0.66,0.68,0.33,0.32,0.34,,,,
2026-01-06 03:13:18.125000+00:00,2026-01-06 03:13:18.181925+00:00,798.125,0.61,0.58,0.64,0.45,0.44,0.46,,,,
2026-01-06 03:13:19.220000+00:00,2026-01-06 03:13:19.230261+00:00,799.22,0.51,0.5,0.52,0.49,0.48,0.5,,,,
2026-01-06 03:13:20.181000+00:00,2026-01-06 03:13:20.227193+00:00,800.181,0.505,0.5,0.51,0.505,0.5,0.51,,,,
2026-01-06 03:13:21.173000+00:00,2026-01-06 03:13:21.230983+00:00,801.173,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:13:22.575000+00:00,2026-01-06 03:13:22.726542+00:00,802.575,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:13:24.044000+00:00,2026-01-06 03:13:24.402562+00:00,804.044,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 03:13:25.321000+00:00,2026-01-06 03:13:25.411950+00:00,805.321,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 03:13:26.365000+00:00,2026-01-06 03:13:26.385994+00:00,806.365,0.6,0.59,0.61,0.4,0.39,0.41,,,,
2026-01-06 03:13:27.862000+00:00,2026-01-06 03:13:27.853124+00:00,807.862,0.655,0.65,0.66,0.345,0.34,0.35,,,,
2026-01-06 03:13:28.797000+00:00,2026-01-06 03:13:28.855525+00:00,808.797,0.65,0.64,0.66,0.35,0.34,0.36,,,,
2026-01-06 03:13:29.737000+00:00,2026-01-06 03:13:29.859021+00:00,809.737,0.65,0.64,0.66,0.35,0.34,0.36,,,,
2026-01-06 03:13:30.797000+00:00,2026-01-06 03:13:30.898406+00:00,810.797,0.635,0.63,0.64,0.365,0.36,0.37,,,,
2026-01-06 03:13:31.880000+00:00,2026-01-06 03:13:31.887979+00:00,811.88,0.62,0.61,0.63,0.38,0.37,0.39,,,,
2026-01-06 03:13:33.359000+00:00,2026-01-06 03:13:33.363171+00:00,813.359,0.715,0.69,0.74,0.275,0.27,0.28,,,,
2026-01-06 03:13:34.355000+00:00,2026-01-06 03:13:34.375930+00:00,814.355,0.735,0.7,0.77,0.265,0.23,0.3,,,,
2026-01-06 03:13:36.370000+00:00,2026-01-06 03:13:36.375788+00:00,816.37,0.73,0.69,0.77,0.27,0.23,0.31,,,,
2026-01-06 03:13:37.316000+00:00,2026-01-06 03:13:37.382694+00:00,817.316,0.725,0.69,0.76,0.28,0.24,0.32,,,,
2026-01-06 03:13:38.325000+00:00,2026-01-06 03:13:38.380243+00:00,818.325,0.7,0.68,0.72,0.3,0.28,0.32,,,,
2026-01-06 03:13:40.243000+00:00,2026-01-06 03:13:40.323950+00:00,820.243,0.665,0.64,0.69,0.3349999999999999,0.31,0.36,,,,
