timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,up_bid_3,up_bid_3_size,up_ask_3,up_ask_3_size,up_bid_4,up_bid_4_size,up_ask_4,up_ask_4_size,up_bid_5,up_bid_5_size,up_ask_5,up_ask_5_size,up_bid_6,up_bid_6_size,up_ask_6,up_ask_6_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size,down_bid_3,down_bid_3_size,down_ask_3,down_ask_3_size,down_bid_4,down_bid_4_size,down_ask_4,down_ask_4_size,down_bid_5,down_bid_5_size,down_ask_5,down_ask_5_size,down_bid_6,down_bid_6_size,down_ask_6,down_ask_6_size
2026-01-07 03:15:00.615000+00:00,2026-01-07 03:15:01.450782+00:00,0.615,0.435,0.43,0.44,0.575,0.56,0.59,5.0,5.0,5.0,40.0,0.41,40.0,0.45,668.08,0.4,50.0,0.46,88.0,0.35,5.0,0.47,750.16,0.33,52.0,0.48,1472.09,0.32,20.0,0.49,766.44,0.55,668.08,0.6,50.0,0.54,88.0,0.65,5.0,0.53,750.16,0.67,52.0,0.52,1472.09,0.68,20.0,0.51,766.44,0.7,62.0
2026-01-07 03:15:01.657000+00:00,2026-01-07 03:15:02.452321+00:00,1.657,0.415,0.41,0.42,0.585,0.58,0.59,135.0,1000.0,1000.0,130.0,0.4,50.0,0.43,5.0,0.35,5.0,0.45,583.08,0.33,52.0,0.46,101.0,0.32,20.0,0.47,763.16,0.3,62.0,0.48,1472.09,0.57,5.0,0.6,50.0,0.55,583.08,0.61,64.0,0.54,101.0,0.65,5.0,0.53,763.16,0.67,52.0,0.52,1472.09,0.68,20.0
2026-01-07 03:15:02.651000+00:00,2026-01-07 03:15:03.444197+00:00,2.651,0.415,0.41,0.42,0.585,0.58,0.59,174.0,1060.8,1131.8,235.0,0.4,111.0,0.43,122.0,0.39,61.0,0.44,122.0,0.38,151.0,0.45,766.08,0.37,251.0,0.46,284.0,0.36,122.0,0.47,946.16,0.57,183.0,0.6,201.0,0.56,183.0,0.61,61.0,0.55,766.08,0.62,61.0,0.54,284.0,0.63,251.0,0.53,946.16,0.64,183.0
2026-01-07 03:15:03.586000+00:00,2026-01-07 03:15:04.444020+00:00,3.586,0.415,0.41,0.42,0.585,0.58,0.59,330.0,913.8,918.8,330.0,0.4,111.0,0.43,183.0,0.39,61.0,0.44,183.0,0.38,61.0,0.45,887.08,0.37,372.0,0.46,405.0,0.36,304.0,0.47,1157.16,0.57,183.0,0.6,111.0,0.56,183.0,0.61,61.0,0.55,887.08,0.62,61.0,0.54,405.0,0.63,372.0,0.53,1157.16,0.64,304.0
2026-01-07 03:15:04.647000+00:00,2026-01-07 03:15:05.444791+00:00,4.647,0.395,0.39,0.4,0.605,0.6,0.61,50.0,84.0,54.0,80.0,0.38,182.0,0.42,948.8,0.37,319.0,0.43,324.0,0.36,304.0,0.44,304.0,0.35,309.0,0.45,902.08,0.34,304.0,0.46,405.0,0.58,918.8,0.62,182.0,0.57,304.0,0.63,319.0,0.56,324.0,0.64,304.0,0.55,932.08,0.65,309.0,0.54,405.0,0.66,304.0
2026-01-07 03:15:05.626000+00:00,2026-01-07 03:15:06.444435+00:00,5.626,0.415,0.41,0.42,0.585,0.58,0.59,413.0,645.68,595.68,413.0,0.4,369.0,0.43,65.0,0.39,354.0,0.44,60.0,0.38,182.0,0.45,628.08,0.37,304.0,0.46,389.0,0.36,373.0,0.47,1067.16,0.57,65.0,0.6,369.0,0.56,60.0,0.61,354.0,0.55,628.08,0.62,182.0,0.54,389.0,0.63,304.0,0.53,1067.16,0.64,373.0
2026-01-07 03:15:06.555000+00:00,2026-01-07 03:15:07.432327+00:00,6.555,0.415,0.41,0.42,0.585,0.58,0.59,452.55,462.1,437.1,502.55,0.4,364.0,0.43,70.0,0.39,349.0,0.44,60.0,0.38,182.0,0.45,628.08,0.37,304.0,0.46,389.0,0.36,304.0,0.47,1067.16,0.55,648.08,0.6,349.0,0.54,349.0,0.61,349.0,0.53,1067.16,0.62,182.0,0.52,1746.09,0.63,304.0,0.51,1101.44,0.64,373.0
2026-01-07 03:15:07.646000+00:00,2026-01-07 03:15:08.444722+00:00,7.646,0.445,0.44,0.45,0.555,0.55,0.56,191.0,541.08,480.08,191.0,0.43,252.0,0.46,166.0,0.42,110.0,0.47,763.16,0.41,377.55,0.48,1442.09,0.4,384.0,0.49,797.44,0.39,413.0,0.5,2015.15,0.54,166.0,0.57,272.0,0.53,763.16,0.58,110.0,0.52,1442.09,0.59,357.55,0.51,797.44,0.6,384.0,0.5,2015.15,0.61,413.0
2026-01-07 03:15:08.627000+00:00,2026-01-07 03:15:09.443922+00:00,8.627,0.445,0.44,0.45,0.555,0.55,0.56,181.78,485.08,485.08,181.78,0.43,272.0,0.46,161.0,0.42,110.0,0.47,763.16,0.41,427.55,0.48,1442.09,0.4,454.0,0.49,867.44,0.39,419.0,0.5,2085.15,0.54,161.0,0.57,272.0,0.53,763.16,0.58,110.0,0.52,1442.09,0.59,427.55,0.51,867.44,0.6,517.0,0.5,2085.15,0.61,419.0
2026-01-07 03:15:09.552000+00:00,2026-01-07 03:15:10.447350+00:00,9.552,0.445,0.44,0.45,0.555,0.55,0.56,101.0,603.7,603.7,101.0,0.43,192.0,0.46,216.0,0.42,115.0,0.47,833.16,0.41,442.55,0.48,1512.09,0.4,454.0,0.49,867.44,0.39,483.0,0.5,2085.15,0.54,338.0,0.57,192.0,0.53,1076.16,0.58,125.0,0.52,1755.09,0.59,392.55,0.51,1110.44,0.6,469.0,0.5,2045.15,0.61,483.0
