timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:12:39.766000+00:00,1767669159766,XRP,xrp-updown-15m-1767668400,0.63,0.62,0.64,0.36,0.34,0.38,1,2026-01-06 03:12:38.627609+00:00
2026-01-06T03:12:40.065000+00:00,1767669160065,XRP,xrp-updown-15m-1767668400,0.63,0.62,0.64,0.36,0.35,0.37,1,2026-01-06 03:12:40.166898+00:00
2026-01-06T03:12:41.676000+00:00,1767669161676,XRP,xrp-updown-15m-1767668400,0.625,0.62,0.63,0.425,0.41,0.44,1,2026-01-06 03:12:41.688041+00:00
2026-01-06T03:12:44.144000+00:00,1767669164144,XRP,xrp-updown-15m-1767668400,0.56,0.55,0.57,0.44,0.43,0.45,1,2026-01-06 03:12:44.151129+00:00
2026-01-06T03:12:46.001000+00:00,1767669166001,XRP,xrp-updown-15m-1767668400,0.53,0.52,0.54,0.47,0.46,0.48,1,2026-01-06 03:12:46.012099+00:00
2026-01-06T03:12:47.003000+00:00,1767669167003,XRP,xrp-updown-15m-1767668400,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,1,2026-01-06 03:12:47.021131+00:00
2026-01-06T03:12:48.224000+00:00,1767669168224,XRP,xrp-updown-15m-1767668400,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,1,2026-01-06 03:12:48.241940+00:00
2026-01-06T03:12:49.216000+00:00,1767669169216,XRP,xrp-updown-15m-1767668400,0.53,0.52,0.54,0.46499999999999997,0.46,0.47,1,2026-01-06 03:12:49.238207+00:00
2026-01-06T03:12:51.690000+00:00,1767669171690,XRP,xrp-updown-15m-1767668400,0.595,0.59,0.6,0.405,0.4,0.41,1,2026-01-06 03:12:51.707170+00:00
2026-01-06T03:12:52.760000+00:00,1767669172760,XRP,xrp-updown-15m-1767668400,0.585,0.58,0.59,0.435,0.43,0.44,1,2026-01-06 03:12:52.766569+00:00
2026-01-06T03:12:53.777000+00:00,1767669173777,XRP,xrp-updown-15m-1767668400,0.525,0.52,0.53,0.475,0.47,0.48,1,2026-01-06 03:12:53.784406+00:00
2026-01-06T03:12:55.240000+00:00,1767669175240,XRP,xrp-updown-15m-1767668400,0.53,0.52,0.54,0.47,0.46,0.48,1,2026-01-06 03:12:55.462113+00:00
2026-01-06T03:12:56.469000+00:00,1767669176469,XRP,xrp-updown-15m-1767668400,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,1,2026-01-06 03:12:56.486088+00:00
2026-01-06T03:12:57.696000+00:00,1767669177696,XRP,xrp-updown-15m-1767668400,0.545,0.54,0.55,0.455,0.45,0.46,1,2026-01-06 03:12:57.700689+00:00
2026-01-06T03:12:59.094000+00:00,1767669179094,XRP,xrp-updown-15m-1767668400,0.5800000000000001,0.56,0.6,0.42000000000000004,0.4,0.44,1,2026-01-06 03:12:59.151773+00:00
2026-01-06T03:13:00.143000+00:00,1767669180143,XRP,xrp-updown-15m-1767668400,0.5800000000000001,0.56,0.6,0.435,0.43,0.44,1,2026-01-06 03:13:00.152149+00:00
2026-01-06T03:13:01.105000+00:00,1767669181105,XRP,xrp-updown-15m-1767668400,0.6,0.59,0.61,0.385,0.38,0.39,1,2026-01-06 03:13:01.142310+00:00
2026-01-06T03:13:02.138000+00:00,1767669182138,XRP,xrp-updown-15m-1767668400,0.605,0.6,0.61,0.395,0.39,0.4,1,2026-01-06 03:13:02.144138+00:00
2026-01-06T03:13:03.082000+00:00,1767669183082,XRP,xrp-updown-15m-1767668400,0.58,0.57,0.59,0.42,0.41,0.43,1,2026-01-06 03:13:03.144175+00:00
2026-01-06T03:13:04.263000+00:00,1767669184263,XRP,xrp-updown-15m-1767668400,0.5700000000000001,0.56,0.58,0.43,0.42,0.44,1,2026-01-06 03:13:04.349757+00:00
2026-01-06T03:13:05.279000+00:00,1767669185279,XRP,xrp-updown-15m-1767668400,0.515,0.51,0.52,0.46499999999999997,0.46,0.47,1,2026-01-06 03:13:05.368067+00:00
2026-01-06T03:13:06.229000+00:00,1767669186229,XRP,xrp-updown-15m-1767668400,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,1,2026-01-06 03:13:06.382476+00:00
2026-01-06T03:13:07.923000+00:00,1767669187923,XRP,xrp-updown-15m-1767668400,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,1,2026-01-06 03:13:07.942602+00:00
2026-01-06T03:13:08.958000+00:00,1767669188958,XRP,xrp-updown-15m-1767668400,0.555,0.55,0.56,0.445,0.44,0.45,1,2026-01-06 03:13:08.964776+00:00
2026-01-06T03:13:09.877000+00:00,1767669189877,XRP,xrp-updown-15m-1767668400,0.64,0.63,0.65,0.33999999999999997,0.31,0.37,1,2026-01-06 03:13:09.959754+00:00
2026-01-06T03:13:10.877000+00:00,1767669190877,XRP,xrp-updown-15m-1767668400,0.66,0.65,0.67,0.33999999999999997,0.33,0.35,1,2026-01-06 03:13:10.964120+00:00
2026-01-06T03:13:11.992000+00:00,1767669191992,XRP,xrp-updown-15m-1767668400,0.65,0.64,0.66,0.35,0.34,0.36,1,2026-01-06 03:13:11.983817+00:00
2026-01-06T03:13:13.061000+00:00,1767669193061,XRP,xrp-updown-15m-1767668400,0.64,0.63,0.65,0.36,0.35,0.37,1,2026-01-06 03:13:13.065099+00:00
2026-01-06T03:13:14.063000+00:00,1767669194063,XRP,xrp-updown-15m-1767668400,0.665,0.63,0.7,0.33999999999999997,0.31,0.37,1,2026-01-06 03:13:14.075512+00:00
2026-01-06T03:13:15.065000+00:00,1767669195065,XRP,xrp-updown-15m-1767668400,0.6799999999999999,0.67,0.69,0.325,0.31,0.34,1,2026-01-06 03:13:15.085370+00:00
2026-01-06T03:13:16.130000+00:00,1767669196130,XRP,xrp-updown-15m-1767668400,0.7050000000000001,0.67,0.74,0.29500000000000004,0.26,0.33,1,2026-01-06 03:13:16.184294+00:00
2026-01-06T03:13:17.178000+00:00,1767669197178,XRP,xrp-updown-15m-1767668400,0.67,0.66,0.68,0.33,0.32,0.34,1,2026-01-06 03:13:17.196310+00:00
2026-01-06T03:13:18.125000+00:00,1767669198125,XRP,xrp-updown-15m-1767668400,0.61,0.58,0.64,0.45,0.44,0.46,1,2026-01-06 03:13:18.181925+00:00
2026-01-06T03:13:19.220000+00:00,1767669199220,XRP,xrp-updown-15m-1767668400,0.51,0.5,0.52,0.49,0.48,0.5,1,2026-01-06 03:13:19.230261+00:00
2026-01-06T03:13:20.181000+00:00,1767669200181,XRP,xrp-updown-15m-1767668400,0.505,0.5,0.51,0.505,0.5,0.51,1,2026-01-06 03:13:20.227193+00:00
2026-01-06T03:13:21.173000+00:00,1767669201173,XRP,xrp-updown-15m-1767668400,0.495,0.49,0.5,0.505,0.5,0.51,1,2026-01-06 03:13:21.230983+00:00
2026-01-06T03:13:22.575000+00:00,1767669202575,XRP,xrp-updown-15m-1767668400,0.495,0.49,0.5,0.505,0.5,0.51,1,2026-01-06 03:13:22.726542+00:00
