t,tau,timestamp,cl_mid,cl_bid,cl_ask,cl_ffill,pm_up_mid,pm_down_mid,pm_up_best_bid,pm_up_best_ask,pm_up_best_bid_size,pm_up_best_ask_size,pm_down_best_bid,pm_down_best_ask,pm_down_best_bid_size,pm_down_best_ask_size,pm_ffill,market_id,asset,market_start,K,settlement,Y,pm_up_spread,pm_down_spread,sum_bids,sum_asks,delta,delta_bps
0,900,2026-01-06 02:15:00+00:00,93723.881,93721.01,93727.04,0,0.535,0.4649999999999999,0.53,0.54,,,0.46,0.47,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.009999999999999953,0.99,1.01,-23.279999999998836,-2.483275200195005
1,899,2026-01-06 02:15:01+00:00,93729.611,93728.17,93732.82,0,0.54,0.475,0.53,0.55,,,0.47,0.48,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.020000000000000018,0.010000000000000009,1.0,1.03,-17.54999999998836,-1.872056690867509
2,898,2026-01-06 02:15:02+00:00,93730.341,93729.1,93733.3,0,0.515,0.485,0.51,0.52,,,0.48,0.49,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.819999999992433,-1.7941876661195568
3,897,2026-01-06 02:15:03+00:00,93730.341,93729.1,93733.3,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.819999999992433,-1.7941876661195568
4,896,2026-01-06 02:15:04+00:00,93729.041,93728.33,93732.27,0,0.515,0.485,0.51,0.52,,,0.48,0.49,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-18.119999999995343,-1.9328585321101452
5,895,2026-01-06 02:15:05+00:00,93730.061,93730.02,93732.64,0,0.51,0.5,0.5,0.52,,,0.49,0.51,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.020000000000000018,0.020000000000000018,0.99,1.03,-17.09999999999127,-1.8240552372558003
6,894,2026-01-06 02:15:06+00:00,93730.231,93730.05,93732.85,0,0.485,0.515,0.48,0.49,,,0.51,0.52,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.929999999993015,-1.8059213547803348
7,893,2026-01-06 02:15:07+00:00,93730.251,93730.05,93732.86,0,0.525,0.475,0.52,0.53,,,0.47,0.48,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.90999999998894,-1.803787956841588
8,892,2026-01-06 02:15:08+00:00,93730.261,93730.05,93732.87,0,0.52,0.48,0.51,0.53,,,0.47,0.49,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.020000000000000018,0.020000000000000018,0.98,1.02,-16.89999999999418,-1.802721257872991
9,891,2026-01-06 02:15:09+00:00,93730.271,93730.05,93732.88,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.889999999999418,-1.801654558904394
10,890,2026-01-06 02:15:10+00:00,93730.261,93730.06,93732.87,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.89999999999418,-1.802721257872991
11,889,2026-01-06 02:15:11+00:00,93730.261,93730.07,93732.84,0,0.51,0.49,0.5,0.52,,,0.48,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.020000000000000018,0.020000000000000018,0.98,1.02,-16.89999999999418,-1.802721257872991
12,888,2026-01-06 02:15:12+00:00,93730.261,93729.91,93732.84,0,0.515,0.49,0.51,0.52,,,0.48,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.020000000000000018,0.99,1.02,-16.89999999999418,-1.802721257872991
13,887,2026-01-06 02:15:13+00:00,93730.261,93729.76,93732.85,0,0.515,0.485,0.51,0.52,,,0.48,0.49,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.89999999999418,-1.802721257872991
14,886,2026-01-06 02:15:14+00:00,93731.181,93730.58,93733.77,0,0.525,0.475,0.52,0.53,,,0.47,0.48,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-15.979999999995925,-1.7045849527108268
15,885,2026-01-06 02:15:15+00:00,93732.111,93731.4,93734.69,0,0.525,0.475,0.52,0.53,,,0.47,0.48,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-15.049999999988358,-1.6053819485785132
16,884,2026-01-06 02:15:16+00:00,93730.791,93730.0,93733.6,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-16.369999999995343,-1.7461862125078482
17,883,2026-01-06 02:15:17+00:00,93737.661,93737.56,93740.58,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-9.5,-1.0133640206981842
18,882,2026-01-06 02:15:18+00:00,93729.451,93728.6,93732.5,0,0.485,0.515,0.48,0.49,,,0.51,0.52,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-17.70999999999185,-1.8891238743743772
19,881,2026-01-06 02:15:19+00:00,93732.901,93732.53,93735.51,0,0.49,0.505,0.48,0.5,,,0.5,0.51,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.020000000000000018,0.010000000000000009,0.98,1.01,-14.259999999994761,-1.5211127300158733
20,880,2026-01-06 02:15:20+00:00,93732.951,93732.77,93735.52,0,0.495,0.505,0.49,0.5,,,0.5,0.51,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-14.209999999991851,-1.5157792351697832
21,879,2026-01-06 02:15:21+00:00,93737.421,93736.41,93740.09,0,0.495,0.505,0.49,0.5,,,0.5,0.51,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-9.739999999990687,-1.0389647959569344
22,878,2026-01-06 02:15:22+00:00,93726.851,93725.93,93729.79,0,0.495,0.505,0.49,0.5,,,0.5,0.51,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-20.30999999999767,-2.166465606355554
23,877,2026-01-06 02:15:23+00:00,93726.561,93725.93,93729.54,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-20.59999999999127,-2.1973998764603944
24,876,2026-01-06 02:15:24+00:00,93726.271,93724.47,93729.01,0,0.475,0.53,0.47,0.48,,,0.52,0.54,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.020000000000000018,0.99,1.02,-20.889999999999418,-2.2283341465667874
25,875,2026-01-06 02:15:25+00:00,93726.711,93724.84,93729.5,0,0.455,0.545,0.45,0.46,,,0.54,0.55,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-20.44999999999709,-2.1813993919236756
26,874,2026-01-06 02:15:26+00:00,93727.331,93725.46,93730.37,0,0.445,0.555,0.44,0.45,,,0.55,0.56,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-19.829999999987194,-2.115264055834949
27,873,2026-01-06 02:15:27+00:00,93728.151,93726.43,93731.37,0,0.445,0.555,0.44,0.45,,,0.55,0.56,,,0,20260106_0215_93747,BTC,2026-01-06 02:15:00+00:00,93747.161,93701.74,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-19.00999999999476,-2.027794740364966
