t,tau,timestamp,cl_mid,cl_bid,cl_ask,cl_ffill,pm_up_mid,pm_down_mid,pm_up_best_bid,pm_up_best_ask,pm_up_best_bid_size,pm_up_best_ask_size,pm_down_best_bid,pm_down_best_ask,pm_down_best_bid_size,pm_down_best_ask_size,pm_ffill,market_id,asset,market_start,K,settlement,Y,pm_up_spread,pm_down_spread,sum_bids,sum_asks,delta,delta_bps
0,900,2026-01-06 13:30:00+00:00,139.064,139.05,139.07,0,,,,,,,,,,,1,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,,,,,0.0,0.0
1,899,2026-01-06 13:30:01+00:00,139.064,139.05,139.08,0,,,,,,,,,,,1,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,,,,,0.0,0.0
2,898,2026-01-06 13:30:02+00:00,139.064,139.05,139.07,0,,,,,,,,,,,1,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,,,,,0.0,0.0
3,897,2026-01-06 13:30:03+00:00,139.064,139.05,139.07,0,0.51,0.49,0.5,0.52,,,0.48,0.5,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.020000000000000018,0.020000000000000018,0.98,1.02,0.0,0.0
4,896,2026-01-06 13:30:04+00:00,139.054,139.04,139.06,0,0.505,0.495,0.5,0.51,,,0.49,0.5,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-0.009999999999990905,-0.719093367082128
5,895,2026-01-06 13:30:05+00:00,139.044,139.03,139.06,0,0.485,0.515,0.48,0.49,,,0.51,0.52,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-0.01999999999998181,-1.438186734164256
6,894,2026-01-06 13:30:06+00:00,139.054,139.03,139.07,0,0.485,0.515,0.48,0.49,,,0.51,0.52,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.010000000000000009,0.010000000000000009,0.99,1.01,-0.009999999999990905,-0.719093367082128
7,893,2026-01-06 13:30:07+00:00,139.064,139.04,139.08,0,0.485,0.515,0.48,0.49,,,0.51,0.52,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.010000000000000009,0.010000000000000009,0.99,1.01,0.0,0.0
8,892,2026-01-06 13:30:08+00:00,139.074,139.06,139.1,0,0.485,0.52,0.48,0.49,,,0.51,0.53,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.010000000000000009,0.020000000000000018,0.99,1.02,0.010000000000019327,0.7190933670841719
9,891,2026-01-06 13:30:09+00:00,139.094,139.08,139.1,0,0.49,0.51,0.48,0.5,,,0.5,0.52,,,0,20260106_1330_139,SOL,2026-01-06 13:30:00+00:00,139.064,138.793,0,0.020000000000000018,0.020000000000000018,0.98,1.02,0.030000000000001137,2.157280101248428
