market_id,t,tau,timestamp,sum_asks,underround,up_ask,down_ask,up_ask_size,down_ask_size,achievable_capacity,capacity_weighted_edge
20260106_1700,528,372,2026-01-06 17:08:48+00:00,0.98,0.020000000000000018,0.53,0.45,17.02,60.0,17.02,0.3404000000000003
20260106_1700,803,97,2026-01-06 17:13:23+00:00,0.95,0.050000000000000044,0.19,0.76,15.0,170.94,15.0,0.7500000000000007
20260106_1715,326,574,2026-01-06 17:20:26+00:00,0.98,0.020000000000000018,0.32,0.66,71.0,308.0,71.0,1.4200000000000013
20260106_1715,580,320,2026-01-06 17:24:40+00:00,0.98,0.020000000000000018,0.77,0.21,27.0,79.0,27.0,0.5400000000000005
20260106_1800,59,841,2026-01-06 18:00:59+00:00,0.98,0.020000000000000018,0.36,0.62,150.0,33.0,33.0,0.6600000000000006
20260106_1800,184,716,2026-01-06 18:03:04+00:00,0.98,0.020000000000000018,0.67,0.31,81.47,61.0,61.0,1.220000000000001
20260106_1815,650,250,2026-01-06 18:25:50+00:00,0.98,0.020000000000000018,0.53,0.45,29.9,111.2,29.9,0.5980000000000005
20260106_1830,437,463,2026-01-06 18:37:17+00:00,0.98,0.020000000000000018,0.6,0.38,36.0,45.0,36.0,0.7200000000000006
20260106_1830,668,232,2026-01-06 18:41:08+00:00,0.9299999999999999,0.07000000000000006,0.31,0.62,39.09,27.17,27.17,1.9019000000000017
20260106_1830,744,156,2026-01-06 18:42:24+00:00,0.96,0.040000000000000036,0.34,0.62,61.0,132.4,61.0,2.440000000000002
20260106_1830,766,134,2026-01-06 18:42:46+00:00,0.95,0.050000000000000044,0.43,0.52,11.97,24.7,11.97,0.5985000000000006
20260106_1845,561,339,2026-01-06 18:54:21+00:00,0.97,0.030000000000000027,0.78,0.19,62.17,124.7,62.17,1.8651000000000018
20260106_1845,591,309,2026-01-06 18:54:51+00:00,0.97,0.030000000000000027,0.68,0.29,15.0,136.0,15.0,0.4500000000000004
20260106_1845,623,277,2026-01-06 18:55:23+00:00,0.97,0.030000000000000027,0.74,0.23,23.22,107.0,23.22,0.6966000000000006
20260106_1915,542,358,2026-01-06 19:24:02+00:00,0.96,0.040000000000000036,0.35,0.61,71.0,61.0,61.0,2.440000000000002
20260106_1915,714,186,2026-01-06 19:26:54+00:00,0.97,0.030000000000000027,0.3,0.67,23.31,182.0,23.31,0.6993000000000006
